time,machine_id,new_pstate
0,0-31,0
0,0-31,-2
6.1,0-31,13
6.1,0,-1
6.1,1-3,-1
16.0039,4-7,-1
38.8363,8-15,-1
54.1959,16-24,-1
60,25-29,-1
70.3507,30-31,-1
157.62,0,0
157.62,1-3,0
167.524,4-7,0
190.356,8-15,0
205.716,16-24,0
211.52,25-29,0
221.871,30-31,0
221.871,30-31,-2
227.971,30-31,13
253.024,30,-1
346.187,31,-1
404.544,30,0
497.707,31,0
504.316,30-31,-2
510.416,30-31,13
510.722,30-31,-1
662.242,30-31,0
799.306,18-19,-2
805.406,18-19,13
805.406,18,-1
806.289,19,-1
842.606,24,-2
848.706,24,13
956.926,18,0
957.809,19,0
957.809,11-14 16 18-19 25 31,-2
958.412,23,-2
963.909,11-14 16 18-19 25 31,13
964.512,23,13
967.053,11,-1
975.146,12-13,-1
990.114,14,-1
994.423,16 18,-1
995.991,19 23,-1
999.371,24,-1
1080,25,-1
1118.57,11,0
1126.67,12-13,0
1141.63,14,0
1145.94,16 18,0
1147.51,19 23,0
1150.89,24,0
1231.52,25,0
1231.52,15 20 25 30,-2
1232.01,31,-1
1237.62,15 20 25 30,13
1237.62,15 20 25,-1
1383.53,31,0
1389.14,15 20 25,0
1389.14,29,-2
1395.24,29,13
1438.96,29,-1
1440,30,-1
1590.48,29,0
1591.52,30,0
1705.93,29-30,-2
1712.03,29-30,13
1715.2,29,-1
1727.66,30,-1
1800,26,-2
1806.1,26,13
1866.72,29,0
1879.18,30,0
1879.18,30,-2
1885.28,30,13
1920,26,-1
1980,30,-1
2071.52,26,0
2115.63,25,-2
2121.73,25,13
2131.52,30,0
2236.26,4,-2
2242.36,4,13
2242.87,31,-2
2248.97,31,13
2249,4,-1
2280,24,-2
2286.1,24,13
2298.34,8,-2
2304.44,8,13
2340.18,10-11,-2
2346.28,10-11,13
2400.52,4,0
2403.69,28,-2
2409.79,28,13
2410.3,27,-2
2416.4,27,13
2444.01,26,-2
2450.11,26,13
2459.23,8 10,-1
2460,11,-1
2520,24-25,-1
2536.55,26,-1
2610.75,8 10,0
2611.52,11,0
2671.52,24-25,0
2688.07,26,0
2688.07,22-26,-2
2694.17,22-26,13
2700,22,-1
2723,23-24,-1
2739.6,25-26,-1
2760,27-28,-1
2791.96,31,-1
2851.52,22,0
2874.52,23-24,0
2883.46,21,-2
2889.56,21,13
2891.12,25-26,0
2911.52,27-28,0
2942.1,5-6,-2
2943.48,31,0
2943.48,15-16 31,-2
2944.59,21,-1
2948.2,5-6,13
2948.2,5,-1
2949.58,15-16 31,13
2949.58,6,-1
3052.47,18 27,-2
3058.57,18 27,13
3096.11,21,0
3099.72,5,0
3101.1,6,0
3103.72,21,-2
3109.82,21,13
3120,15,-1
3150.53,16,-1
3251.96,24,-2
3258.06,24,13
3271.52,15,0
3300,14-15,-2
3302.05,16,0
3302.05,16 19-20,-2
3305.96,7,-2
3306.1,14-15,13
3308.15,16 19-20,13
3312.06,7,13
3318.43,7 14,-1
3326.42,15,-1
3360,3 23 28-29,-2
3366.1,3 23 28-29,13
3469.95,7 14,0
3477.94,15,0
3480,3,-1
3631.52,3,0
3660,16,-1
3811.52,16,0
3909.01,22 25,-2
3910.07,18-19,-1
3915.11,22 25,13
4061.59,18-19,0
4150.1,19,-2
4156.2,19,13
4380,19,-1
4531.52,19,0
4560,20,-1
4711.52,20,0
4720.39,10-17,-2
4721.21,21-22,-1
4726.49,10-17,13
4726.49,10-11,-1
4739.72,12-15,-1
4859.52,26,-2
4865.62,26,13
4872.73,21-22,0
4878.01,10-11,0
4891.24,12-15,0
4891.24,22,-2
4897.34,22,13
4920,16,-1
4980,17 22,-1
5004.6,23,-1
5071.52,16,0
5131.52,17 22,0
5156.12,23,0
5156.12,23,-2
5160,24,-1
5162.22,23,13
5187.97,23,-1
5311.52,24,0
5339.49,23,0
5339.49,2-3 23,-2
5345.59,2-3 23,13
5358.72,2-3,-1
5404.27,23,-1
5460,25,-1
5510.24,2-3,0
5555.79,23,0
5611.52,25,0
5651.28,10,-2
5657.38,10,13
5670.01,30,-2
5675.74,2-3 11 16,-2
5676.11,30,13
5681.42,15,-2
5681.84,2-3 11 16,13
5683.07,2-3 10-11,-1
5687.52,15,13
5820,15,-1
5834.59,2-3 10-11,0
5971.52,15,0
5990.35,19,-2
5996.45,19,13
6039.5,24,-2
6045.6,24,13
6102.88,16,-1
6120,10,-2
6126.1,10,13
6240,10,-1
6254.4,16,0
6300,19 24,-1
6391.52,10,0
6451.52,19 24,0
6643.44,20-21 23,-2
6646.25,26,-1
6649.54,20-21 23,13
6649.54,20,-1
6797.77,26,0
6801.06,20,0
6840,21,-1
6991.52,21,0
7020,23,-1
7171.52,23,0
7218.71,26,-2
7224.81,26,13
7237.03,21,-2
7243.13,21,13
7244.48,11,-2
7250.3,21 26,-1
7250.58,11,13
7401.82,21 26,0
7440,11,-1
7591.52,11,0
7641.17,2,-2
7647.27,2,13
7740,2,-1
7891.52,2,0
7980,27,-1
8131.52,27,0
8131.52,27,-2
8137.62,27,13
8160,27,-1
8220,28-29,-1
8311.52,27,0
8371.52,28-29,0
8400,30,-1
8460,31,-1
8551.52,30,0
8602.05,20,-2
8608.15,20,13
8611.52,31,0
8769.88,17,-2
8775.98,17,13
8786.65,17,-1
8834.45,0,-2
8840.55,0,13
8896.53,14-15,-2
8902.63,14-15,13
8938.17,17,0
9000,0,-1
9060,14-15,-1
9120,20,-1
9151.52,0,0
9211.52,14-15,0
9271.52,20,0
9297.26,30,-2
9303.36,30,13
9347.58,25,-2
9353.68,25,13
9395.03,20,-2
9401.13,20,13
9456.3,20,-1
9572.55,16,-2
9578.65,16,13
9607.82,20,0
9607.82,19-20 22,-2
9613.92,19-20 22,13
9625.23,4-5,-2
9627.57,16 19-20,-1
9631.33,4-5,13
9779.09,16 19-20,0
9812.81,24,-2
9818.91,24,13
9822.25,6-7,-2
9822.86,4-5,-1
9828.35,6-7,13
9840.38,6,-1
9974.38,4-5,0
9991.9,6,0
10080,7,-1
10215.6,2,-2
10221.7,2,13
10231.5,7,0
10231.5,7 10 12-18 26,-2
10236.2,29 31,-2
10236.7,2 22,-1
10237.6,7 10 12-18 26,13
10237.6,7 10,-1
10238.8,12-13,-1
10242.3,29 31,13
10242.3,14-15,-1
10248,16-18 24,-1
10380,25,-1
10388.3,2 22,0
10389.1,7 10,0
10390.4,12-13,0
10393.8,14-15,0
10399.5,16-18 24,0
10500,6,-2
10506.1,6,13
10531.5,25,0
10531.5,1 3 7 10-11 25,-2
10533.5,6 26,-1
10537.6,1 3 7 10-11 25,13
10537.6,1 3,-1
10544.1,7 10,-1
10560,15-16,-2
10566.1,15-16,13
10680,11,-1
10685,6 26,0
10689.1,1 3,0
10695.6,7 10,0
10740,15-16,-1
10831.5,11,0
10862.3,27,-2
10868.4,27,13
10891.5,15-16,0
10891.5,5 15-16,-2
10897.6,5 15-16,13
10983.7,1 3 6 26,-2
10983.9,12-13,-2
10989.8,1 3 6 26,13
10990,12-13,13
11035.2,0 2 7 10,-2
11040.1,4 19,-2
11041.3,0 2 7 10,13
11046.2,4 19,13
11051.8,28,-2
11053.7,23,-2
11057.9,28,13
11059.8,23,13
11103.9,11 14,-2
11110,11 14,13
11145.1,17-18,-2
11151.2,17-18,13
11209.9,22 24,-2
11216,22 24,13
11367.9,20-21,-2
11374,20-21,13
11402.8,8-9,-2
11408.9,8-9,13
16000,0,-1
16000,1,-1
16020,2,-1
16080,3,-1
16080,4,-1
16140,5,-1
16151.5,0,0
16151.5,1,0
16171.5,2,0
16231.5,3,0
16231.5,4,0
16291.5,5,0
