job_id,hacky_job_id,workload_name,submission_time,requested_number_of_resources,requested_time,success,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,consumed_energy,allocated_resources
0,0,a84f80,0.000000,4,300.000000,1,0.000090,96.000000,96.000090,0.000090,96.000090,1.000001,-1.000000,0-3
1,10,a84f80,0.000000,8,300.000000,1,0.000180,96.000000,96.000180,0.000180,96.000180,1.000002,-1.000000,4-11
2,20,a84f80,0.000000,16,300.000000,1,0.000210,96.000000,96.000210,0.000210,96.000210,1.000002,-1.000000,12-27
3,30,a84f80,0.000000,16,300.000000,1,96.000659,96.000000,192.000659,96.000659,192.000659,2.000007,-1.000000,12-27
4,40,a84f80,0.000000,4,300.000000,1,0.000300,96.000000,96.000300,0.000300,96.000300,1.000003,-1.000000,28-31
5,50,a84f80,0.000000,4,300.000000,1,96.000464,96.000000,192.000464,96.000464,192.000464,2.000005,-1.000000,0-3
6,60,a84f80,0.000000,4,300.000000,1,96.000629,96.000000,192.000629,96.000629,192.000629,2.000007,-1.000000,4-7
7,70,a84f80,0.000000,4,300.000000,1,96.000644,96.000000,192.000644,96.000644,192.000644,2.000007,-1.000000,8-11
8,80,a84f80,0.000000,4,300.000000,1,96.000674,96.000000,192.000674,96.000674,192.000674,2.000007,-1.000000,28-31
9,90,a84f80,0.000000,4,300.000000,1,192.000599,96.000000,288.000599,192.000599,288.000599,3.000006,-1.000000,0-3
